id,file,status,source,detail,unknown,opcode_empty
00069,AuctionMunicipalBond__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AuctionMunicipalBond__fhe_swap_0000.json (deployed_bytecode),,0
00070,AuctionMunicipalBond__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AuctionMunicipalBond__dead_code_0000.json (deployed_bytecode),,0
00071,AuctionPharmaceuticalLicense__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AuctionPharmaceuticalLicense__rename_0000.json (deployed_bytecode),,0
00072,AuctionPharmaceuticalLicense__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\AuctionPharmaceuticalLicense__expression_0000.json (deployed_bytecode),,0
00073,AuctionPharmaceuticalLicense__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AuctionPharmaceuticalLicense__fhe_swap_0000.json (deployed_bytecode),,0
00074,AuctionPrivateEquityStake__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AuctionPrivateEquityStake__rename_0000.json (deployed_bytecode),,0
00075,AuctionPrivateEquityStake__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\AuctionPrivateEquityStake__expression_0000.json (deployed_bytecode),,0
00076,AuctionPrivateEquityStake__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AuctionPrivateEquityStake__fhe_swap_0000.json (deployed_bytecode),,0
00077,AuctionShippingContainerSlot__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AuctionShippingContainerSlot__rename_0000.json (deployed_bytecode),,0
00078,AuctionShippingContainerSlot__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\AuctionShippingContainerSlot__expression_0000.json (deployed_bytecode),,0
00079,AuctionShippingContainerSlot__fhe_swap_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\fhe_swap\AuctionShippingContainerSlot__fhe_swap_0000.json (deployed_bytecode),,0
00080,AuctionShippingContainerSlot__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AuctionShippingContainerSlot__dead_code_0000.json (deployed_bytecode),,0
00081,AuctionTimeLock_b2_002__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\AuctionTimeLock_b2_002__rename_0000.json (deployed_bytecode),,0
00082,AuctionTimeLock_b2_002__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\AuctionTimeLock_b2_002__expression_0000.json (deployed_bytecode),,0
00083,AuctionTimeLock_b2_002__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\AuctionTimeLock_b2_002__dead_code_0000.json (deployed_bytecode),,0
00084,BlindAuction__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\BlindAuction__rename_0000.json (deployed_bytecode),,0
00085,BlindAuction__expression_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\expression\BlindAuction__expression_0000.json (deployed_bytecode),,0
00086,BlindAuction__dead_code_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\dead_code\BlindAuction__dead_code_0000.json (deployed_bytecode),,0
00087,BlindAuctionMulti_b3_005__rename_0000.sol,ok,metadata,F:\RM Datasets\final_augmented_datasets\metadata\rename\BlindAuctionMulti_b3_005__rename_0000.json (deployed_bytecode),,0
